City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Varadero,CU,23.1536,-81.2514,84.27,73,7,12.28,clear sky
324,Bambanglipuro,ID,-7.95,110.2833,75.54,82,41,7.2,scattered clouds
325,Kichera,RU,55.9375,110.0997,57.33,84,95,5.41,overcast clouds
326,Gunjur,GM,13.2019,-16.7339,77.86,69,12,9.93,few clouds
327,Khilok,RU,51.3674,110.4676,51.51,93,34,5.06,scattered clouds
328,Kununurra,AU,-15.7667,128.7333,58.98,88,94,0.0,overcast clouds
329,Hornepayne,CA,49.2138,-84.7705,82.42,33,77,10.85,broken clouds
330,Pecos,US,31.4229,-103.4932,97.63,23,1,4.61,clear sky
331,Macon,US,39.8667,-88.9668,87.98,76,8,8.28,clear sky
332,Belomorsk,RU,64.5232,34.7668,47.46,67,91,5.37,overcast clouds
333,La Palma,US,33.8464,-118.0467,104.81,62,1,5.99,clear sky
334,Marzuq,YE,14.4,46.4667,70.0,77,100,11.16,overcast clouds
335,Ereymentau,KZ,51.6199,73.1033,67.66,43,0,4.09,clear sky
336,Muroto,JP,33.2833,134.15,77.83,86,100,11.52,overcast clouds
337,Provideniya,RU,64.3833,-173.3,53.04,64,41,7.36,scattered clouds
338,Mizunami,JP,35.3667,137.25,78.46,94,60,1.41,broken clouds
339,Paamiut,GL,61.994,-49.6678,43.48,83,71,1.57,broken clouds
340,Channel-Port Aux Basques,CA,47.5702,-59.1367,56.84,81,68,16.62,broken clouds
341,Pavlohrad,UA,48.5167,35.8667,63.55,62,0,6.8,clear sky
